TUCASEID,TUACTIVITY_N,WUFNACTWT,WUHAPORD,WUHAPPY,WUINTERACT,WUMEANING,WUPAIN,WUPNORD,WUSAD,WUSADORD,WUSTRESS,WUSTRORD,WUTIRED,WUTRDORD
20210402210577,7,4916824.650562,2,2,2,4,5,4,5,1,5,5,3,3
20210402210577,13,19667298.602246,2,2,2,3,4,4,4,1,5,5,2,3
20210402210577,15,34417772.553931,2,2,2,2,5,4,3,1,5,5,2,3
20210402210578,16,2816103.743788,4,4,2,3,0,3,0,2,0,5,0,1
20210402210578,17,4224155.615682,4,4,2,4,0,3,0,2,0,5,0,1
20210402210578,20,4224155.615682,4,4,2,4,0,3,0,2,0,5,4,1
20210402210610,3,3301704.373459,4,5,2,5,0,1,1,5,1,2,1,3
20210402210610,5,2476278.280094,4,5,2,5,1,1,1,5,3,2,1,3
20210402210610,9,4952556.560188,4,5,2,5,1,1,1,5,2,2,2,3
20210402210618,4,1798679.609216,2,5,2,5,0,3,0,5,2,4,1,1
20210402210618,12,8094058.241473,2,6,1,4,0,3,0,5,0,4,2,1
20210402210618,16,18886135.896770,2,5,2,3,0,3,0,5,1,4,3,1
20210402210646,2,9522940.337985,2,5,2,5,4,3,0,4,0,1,0,5
20210402210646,4,3809176.135194,2,6,1,6,4,3,0,4,0,1,2,5
20210402210646,7,2539450.756796,2,5,2,6,4,3,0,4,0,1,1,5
20210402210656,7,16266120.032725,5,6,1,6,0,3,0,1,0,4,0,2
20210402210656,11,111965126.225260,5,6,1,6,0,3,0,1,0,4,0,2
20210402210656,13,22501466.045270,5,6,1,6,0,3,0,1,0,4,0,2
20210402210664,4,6491213.497513,1,5,2,6,1,4,1,5,1,3,3,2
20210402210664,6,21637378.325042,1,6,1,6,0,4,0,5,0,3,2,2
20210402210664,8,8654951.330017,1,6,2,6,0,4,0,5,0,3,0,2
20210402210667,2,5978035.238857,5,4,1,3,4,4,5,3,4,1,5,2
20210402210667,3,5978035.238857,5,5,1,2,4,4,4,3,3,1,4,2
20210402210667,4,1494508.809714,5,2,1,3,5,4,4,3,3,1,5,2
20210402210687,9,2269072.989725,2,3,1,4,0,5,0,3,0,4,0,1
20210402210687,15,3025430.652966,2,3,2,5,0,5,0,3,0,4,0,1
20210402210687,22,40692042.282397,2,5,2,5,0,5,0,3,0,4,5,1
20210402210723,10,947945.810140,1,5,2,4,0,2,0,3,1,5,5,4
20210402210723,17,2843837.430420,1,5,1,6,0,2,0,3,5,5,5,4
20210402210723,24,3791783.240560,1,4,2,2,3,2,0,3,0,5,5,4
20210402210729,2,4748005.895045,3,6,2,6,0,5,0,2,0,4,0,1
20210402210729,5,4997900.942152,3,6,1,6,0,5,0,2,0,4,0,1
20210402210729,8,2498950.471076,3,6,2,6,0,5,0,2,0,4,0,1
20210402210747,4,8854037.482822,5,3,2,2,3,3,1,1,1,2,2,4
20210402210747,12,60502589.465953,5,2,1,2,2,3,2,1,1,2,3,4
20210402210747,15,53124224.896935,5,1,1,2,2,3,1,1,1,2,2,4
20210402210761,6,8010356.790489,4,6,1,6,1,1,0,3,6,2,2,5
20210402210761,16,4005178.395245,4,4,2,6,2,1,3,3,2,2,2,5
20210402210762,3,6266655.982571,1,4,1,4,0,5,1,3,2,2,3,4
20210402210762,20,12533311.965142,1,5,1,5,0,5,1,3,3,2,3,4
20210402210762,23,56399903.843138,1,5,1,5,0,5,0,3,0,2,5,4
20210402210766,4,2290506.755392,3,2,2,5,2,5,0,2,2,1,2,4
20210402210766,9,1527004.503595,3,2,2,4,5,5,1,2,4,1,2,4
20210402210766,16,29776587.820101,3,0,2,3,5,5,0,2,1,1,2,4
20210402210769,6,14369744.333699,4,6,2,6,0,3,0,5,0,1,0,2
20210402210769,17,7184872.166850,4,6,1,6,0,3,0,5,0,1,0,2
20210402210769,28,1197478.694475,4,6,1,6,0,3,0,5,0,1,3,2
20210402210779,2,13587210.864381,3,4,2,0,0,4,0,5,0,2,2,1
20210402210779,4,13587210.864381,3,4,1,3,0,4,0,5,0,2,3,1
20210402210779,6,1698401.358048,3,4,1,0,0,4,0,5,0,2,2,1
20210402210781,3,2045091.419388,1,6,2,6,0,2,0,3,0,4,0,5
20210402210781,9,24541097.032651,1,4,2,6,0,2,0,3,0,4,4,5
20210402210781,14,6135274.258163,1,6,1,6,0,2,0,3,0,4,4,5
20210402210787,6,11697577.936445,1,6,1,6,0,4,0,2,0,5,2,3
20210402210787,10,7798385.290963,1,2,1,0,0,4,2,2,2,5,4,3
20210402210787,11,1949596.322741,1,6,1,6,0,4,0,2,0,5,2,3
20210402210810,3,643742.765443,1,3,2,1,1,4,0,5,5,3,4,2
20210402210810,5,1609356.913607,1,3,2,3,1,4,2,5,4,3,2,2
20210402210810,16,1931228.296328,1,2,2,5,1,4,0,5,3,3,4,2
20210402210844,2,1348393.805317,1,4,2,4,0,2,3,3,4,4,2,5
20210402210844,3,5393575.221267,1,4,2,5,1,2,3,3,2,4,4,5
20210402210844,5,10787150.442534,1,4,2,5,0,2,2,3,3,4,4,5
20210402210847,5,1368810.704477,1,3,2,2,0,2,0,5,2,3,2,4
20210402210847,9,13688107.044767,1,5,1,5,0,2,0,5,2,3,1,4
20210402210847,11,1825080.939302,1,4,1,3,0,2,0,5,2,3,1,4
20210402210855,2,21463327.514357,5,6,1,5,0,3,0,1,0,2,0,4
20210402210855,5,30048658.520099,5,6,1,6,0,3,0,1,0,2,0,4
20210402210855,6,17170662.011485,5,6,2,5,0,3,0,1,0,2,4,4
20210402210873,11,1618579.759519,4,3,1,0,0,1,0,3,3,5,0,2
20210402210873,14,27747081.591758,4,0,1,0,0,1,0,3,0,5,4,2
20210402210873,18,13873540.795879,4,3,1,3,0,1,3,3,0,5,3,2
20210402210913,5,986574.841090,3,4,2,4,1,2,0,5,2,4,2,1
20210402210913,20,24664371.027261,3,4,1,1,2,2,1,5,3,4,5,1
20210402210913,21,5919449.046543,3,4,1,4,0,2,0,5,2,4,5,1
20210402210922,4,1643633.833353,5,6,1,6,0,4,0,3,0,1,0,2
20210402210922,7,14792704.500176,5,4,2,6,0,4,0,3,0,1,0,2
20210402210922,12,23010873.666941,5,4,1,6,0,4,0,3,0,1,0,2
20210402210931,2,2472952.853168,2,2,2,6,0,3,5,5,6,4,0,1
20210402210931,6,14837717.119006,2,2,2,6,0,3,4,5,4,4,4,1
20210402210931,7,4945905.706335,2,4,1,6,0,3,4,5,4,4,6,1
